texto,categoria,empresa_origem,data_contribuicao,versao_modelo
Você tem direito à portabilidade dos seus dados.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Para menores de idade é necessário consentimento dos responsáveis legais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Quaisquer dúvidas podem ser encaminhadas para privacidade@empresa.com.,contato,diversos,2025-01-01T00:00:00,v1.0
Recomendamos que você revise periodicamente esta política.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Os dados coletados incluem nome endereço email e telefone.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
A finalidade principal é o cumprimento de obrigações contratuais.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Podemos divulgar informações em caso de ordem judicial.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
O prazo de retenção varia conforme a finalidade do tratamento.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Realizamos auditorias regulares de segurança da informação.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Você pode acessar e corrigir seus dados pessoais.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Usamos cookies essenciais e cookies de terceiros.,cookies,diversos,2025-01-01T00:00:00,v1.0
A adequação do país de destino é verificada antes da transferência.,internacional,diversos,2025-01-01T00:00:00,v1.0
Crianças e adolescentes requerem tratamento especial de dados.,criancas,diversos,2025-01-01T00:00:00,v1.0
O encarregado pelo tratamento de dados pode ser contatado pelo formulário.,contato,diversos,2025-01-01T00:00:00,v1.0
Notificaremos sobre mudanças significativas nesta política.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Solicitamos apenas os dados necessários para a prestação do serviço.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
O legítimo interesse pode ser a base legal para o tratamento.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Não vendemos suas informações pessoais a terceiros.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Dados anonimizados podem ser mantidos indefinidamente.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Seu computador fica protegido contra acessos não autorizados.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Você tem direito de se opor ao tratamento de dados.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Cookies podem ser desabilitados nas configurações do navegador.,cookies,diversos,2025-01-01T00:00:00,v1.0
Transferimos dados apenas para países com proteção adequada.,internacional,diversos,2025-01-01T00:00:00,v1.0
Coletamos dados de menores apenas com consentimento específico dos pais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Para exercer seus direitos entre em contato conosco.,contato,diversos,2025-01-01T00:00:00,v1.0
Esta política está em conformidade com a LGPD.,outros,diversos,2025-01-01T00:00:00,v1.0
Respeitamos sua privacidade e protegemos suas informações.,outros,diversos,2025-01-01T00:00:00,v1.0
Processamos dados de acordo com princípios de transparência e segurança.,outros,diversos,2025-01-01T00:00:00,v1.0
As práticas descritas aplicam-se a todos os usuários.,outros,diversos,2025-01-01T00:00:00,v1.0
Nosso compromisso é com a proteção de dados pessoais.,outros,diversos,2025-01-01T00:00:00,v1.0
A Shopee poderá alterar esta Política de Privacidade a qualquer momento mediante publicação no site.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Recomendamos que você revise periodicamente esta política para se manter informado sobre mudanças.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Quaisquer alterações entrarão em vigor imediatamente após a publicação da versão atualizada.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Notificaremos os usuários sobre modificações substanciais através de e-mail ou aviso destacado na plataforma.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
A coleta de dados pessoais ocorre quando você cria uma conta ou realiza uma compra na plataforma.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Coletamos informações sobre suas transações incluindo histórico de compras e métodos de pagamento.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Dados de navegação como endereço IP tipo de dispositivo e cookies são coletados automaticamente.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Podemos compartilhar suas informações com prestadores de serviços que nos auxiliam nas operações.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser compartilhados com autoridades governamentais quando exigido por lei.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Não vendemos nem alugamos suas informações pessoais para terceiros sem seu consentimento explícito.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Utilizamos seus dados para processar pedidos personalizar sua experiência e melhorar nossos serviços.,finalidade,diversos,2025-01-01T00:00:00,v1.0
A finalidade do tratamento inclui prevenção de fraudes e garantia da segurança da plataforma.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Os dados coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Utilizamos cookies essenciais para o funcionamento do site e cookies analíticos para entender o comportamento dos usuários.,cookies,diversos,2025-01-01T00:00:00,v1.0
Você pode gerenciar suas preferências de cookies através das configurações do navegador.,cookies,diversos,2025-01-01T00:00:00,v1.0
Cookies de terceiros podem ser utilizados para exibir anúncios personalizados baseados em seus interesses.,cookies,diversos,2025-01-01T00:00:00,v1.0
Não coletamos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas,diversos,2025-01-01T00:00:00,v1.0
Pais e responsáveis podem solicitar a exclusão de dados de menores através do nosso canal de atendimento.,criancas,diversos,2025-01-01T00:00:00,v1.0
Para usuários menores de idade o uso da plataforma requer consentimento dos responsáveis legais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Armazenamos seus dados pelo tempo necessário para cumprir as finalidades para as quais foram coletados.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Os dados serão retidos conforme exigido por lei ou enquanto sua conta permanecer ativa.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Após o término do período de retenção seus dados serão excluídos ou anonimizados de forma segura.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Para exercer seus direitos ou esclarecer dúvidas entre em contato com nosso Encarregado de Dados.,contato,diversos,2025-01-01T00:00:00,v1.0
Você pode nos contatar através do e-mail privacidade@shopee.com.br ou pelo formulário no site.,contato,diversos,2025-01-01T00:00:00,v1.0
O canal de atendimento para questões de privacidade está disponível de segunda a sexta das 9h às 18h.,contato,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser transferidos e armazenados em servidores localizados em outros países.,internacional,diversos,2025-01-01T00:00:00,v1.0
A transferência internacional de dados ocorre com garantias adequadas de proteção conforme a LGPD.,internacional,diversos,2025-01-01T00:00:00,v1.0
Tomamos medidas para assegurar que países destinatários ofereçam nível adequado de proteção de dados.,internacional,diversos,2025-01-01T00:00:00,v1.0
Reservamo-nos o direito de modificar esta política a qualquer momento.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Atualizações desta política serão publicadas nesta página.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Notificaremos você sobre mudanças significativas em nossa política.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Esta política está sujeita a alterações sem aviso prévio.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Revisões desta política entram em vigor imediatamente após publicação.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Recomendamos verificar periodicamente esta política para atualizações.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Seus dados são mantidos por período determinado pela legislação.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Retemos informações pelo tempo necessário para cumprir finalidades declaradas.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Dados são armazenados em servidores seguros localizados no Brasil.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
O período de retenção varia conforme o tipo de dado coletado.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Informações são mantidas enquanto sua conta estiver ativa.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
"Após exclusão da conta, dados são removidos em até 90 dias.",armazenamento,diversos,2025-01-01T00:00:00,v1.0
Registramos informações quando você cria uma conta em nossa plataforma.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Capturamos dados fornecidos voluntariamente durante o cadastro.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Obtemos informações automaticamente através de cookies e tecnologias similares.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Coletamos endereço IP e dados de navegação para análise de uso.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Seus dados de localização podem ser coletados com seu consentimento.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Informações de dispositivo são registradas automaticamente ao acessar nosso site.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Dados de transações são coletados para processamento de pedidos.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser compartilhados com prestadores de serviço contratados.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Informações são transmitidas a parceiros apenas quando necessário.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Podemos divulgar dados em resposta a ordens judiciais.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Compartilhamos informações agregadas e anonimizadas para fins estatísticos.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Dados podem ser repassados em caso de fusão ou aquisição da empresa.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
"Para dúvidas sobre privacidade, contate nosso DPO através do email.",contato,diversos,2025-01-01T00:00:00,v1.0
Envie suas solicitações para privacidade@empresa.com.br.,contato,diversos,2025-01-01T00:00:00,v1.0
O encarregado de dados pode ser contatado pelo telefone indicado.,contato,diversos,2025-01-01T00:00:00,v1.0
Dúvidas podem ser enviadas através do formulário de contato.,contato,diversos,2025-01-01T00:00:00,v1.0
Nossa equipe de privacidade responderá em até 15 dias úteis.,contato,diversos,2025-01-01T00:00:00,v1.0
Utilizamos cookies essenciais para funcionamento do site.,cookies,diversos,2025-01-01T00:00:00,v1.0
Cookies de análise nos ajudam a entender como você usa a plataforma.,cookies,diversos,2025-01-01T00:00:00,v1.0
Você pode gerenciar preferências de cookies nas configurações do navegador.,cookies,diversos,2025-01-01T00:00:00,v1.0
Cookies de terceiros podem ser utilizados para publicidade direcionada.,cookies,diversos,2025-01-01T00:00:00,v1.0
Pixels e web beacons são empregados para análise de campanhas.,cookies,diversos,2025-01-01T00:00:00,v1.0
Tecnologias de rastreamento melhoram sua experiência de navegação.,cookies,diversos,2025-01-01T00:00:00,v1.0
Não coletamos intencionalmente dados de menores de 13 anos.,criancas,diversos,2025-01-01T00:00:00,v1.0
Pais ou responsáveis devem autorizar o uso por menores de idade.,criancas,diversos,2025-01-01T00:00:00,v1.0
Consentimento parental é obrigatório para usuários menores de 18 anos.,criancas,diversos,2025-01-01T00:00:00,v1.0
Verificamos idade durante o cadastro para proteção de menores.,criancas,diversos,2025-01-01T00:00:00,v1.0
Dados de crianças são tratados com cuidado especial conforme legislação.,criancas,diversos,2025-01-01T00:00:00,v1.0
Você pode solicitar acesso aos seus dados pessoais a qualquer momento.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Possui o direito de corrigir informações incompletas ou desatualizadas.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
"Pode requerer a exclusão de seus dados, salvo obrigações legais.",direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Tem direito à portabilidade de dados para outro fornecedor de serviço.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Pode revogar consentimentos concedidos anteriormente.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Solicitações de direitos do titular são respondidas em até 15 dias.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Você pode se opor ao tratamento de dados para finalidades específicas.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Seus dados são usados para melhorar nossos produtos e serviços.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Processamos informações para personalizar sua experiência.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Dados são tratados para cumprimento de obrigações contratuais.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Utilizamos informações para prevenir fraudes e garantir segurança.,finalidade,diversos,2025-01-01T00:00:00,v1.0
O tratamento visa enviar comunicações sobre produtos de seu interesse.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Dados são processados para fins estatísticos e analíticos.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Dados podem ser transferidos para servidores em outros países.,internacional,diversos,2025-01-01T00:00:00,v1.0
Transferências internacionais seguem cláusulas contratuais padrão.,internacional,diversos,2025-01-01T00:00:00,v1.0
Garantimos proteção adequada em transferências para fora do Brasil.,internacional,diversos,2025-01-01T00:00:00,v1.0
Alguns prestadores de serviço estão localizados nos Estados Unidos.,internacional,diversos,2025-01-01T00:00:00,v1.0
Transferências são realizadas apenas com salvaguardas apropriadas.,internacional,diversos,2025-01-01T00:00:00,v1.0
Esta política complementa nossos Termos de Uso.,outros,diversos,2025-01-01T00:00:00,v1.0
Mantemos a confidencialidade de suas informações.,outros,diversos,2025-01-01T00:00:00,v1.0
Auditamos regularmente nossas práticas de privacidade.,outros,diversos,2025-01-01T00:00:00,v1.0
Estamos comprometidos com a transparência no tratamento de dados.,outros,diversos,2025-01-01T00:00:00,v1.0
Implementamos medidas técnicas e organizacionais de segurança.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Utilizamos criptografia para proteger dados em trânsito.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Acesso a informações é restrito a colaboradores autorizados.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Realizamos auditorias de segurança regularmente.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Sistemas são monitorados continuamente contra ameaças.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Empregamos firewalls e sistemas de detecção de intrusão.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Coletamos seus dados individuais quando você se cadastra em nosso site.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Coletamos seus dados individuais individuais quando você se cadastra em nosso site.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
As informações fornecidas serão utilizadas para melhorar nossos produtos e serviços.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Seus informações podem ser compartilhados com parceiros comerciais.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Você tem o direito de solicitar a exclusão de seus informações de identificação a qualquer momento.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Você possui o direito de solicitar a exclusão de seus dados a qualquer momento.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Não registramos dados de menores de 13 anos sem autorização dos pais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Entre em contato com nosso encarregado de informações individuais através do email dpo@empresa.com.,contato,diversos,2025-01-01T00:00:00,v1.0
Garantimos a confidencialidade de suas informações individuais.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Compartilhamos dados com fornecedores de recursos de pagamento.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Você tem direito à portabilidade dos seus informações.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Você tem direito à portabilidade dos seus informações pessoais.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Os dados pessoais coletados incluem nome endereço email e telefone.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Você pode acessar e corrigir seus informações pessoais.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Você pode acessar e corrigir seus informações individuais individuais.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Crianças e adolescentes requerem tratamento especial de dados individuais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Crianças e adolescentes requerem tratamento especial de informações.,criancas,diversos,2025-01-01T00:00:00,v1.0
Não vendemos suas informações privados a terceiros.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Você tem direito de se opor ao tratamento de informações pessoais.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Transferimos informações pessoais apenas para países com proteção adequada.,internacional,diversos,2025-01-01T00:00:00,v1.0
Para exercer seus direitos contacte conosco.,contato,diversos,2025-01-01T00:00:00,v1.0
Processamos dados pessoais de acordo com princípios de transparência e segurança.,outros,diversos,2025-01-01T00:00:00,v1.0
As práticas descritas aplicam-se a todos os usuário da plataformas.,outros,diversos,2025-01-01T00:00:00,v1.0
Nosso compromisso é com a proteção de dados de identificação de identificação.,outros,diversos,2025-01-01T00:00:00,v1.0
Notificaremos os clientes sobre modificações substanciais através de e-mail ou aviso destacado na plataforma.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Notificaremos os usuários da aplicativo sobre modificações substanciais através de e-mail ou aviso destacado na aplicativo.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
A coleta de informações de identificação ocorre quando você cria uma conta ou realiza uma compra na plataforma.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
A coleta de dados pessoais pessoais ocorre quando você cria uma conta ou realiza uma compra na site.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Podemos compartilhar suas informações com prestadores de produtos e serviços que nos auxiliam nas operações.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Não vendemos nem alugamos suas informações individuais para terceiros sem seu consentimento explícito.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Não vendemos nem alugamos suas informações privados para terceiros sem seu consentimento explícito.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Utilizamos seus informações pessoais para processar pedidos personalizar sua experiência e melhorar nossos recursos.,finalidade,diversos,2025-01-01T00:00:00,v1.0
A finalidade do tratamento inclui prevenção de fraudes e garantia da segurança da sistema.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Os informações coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Os informações pessoais coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Utilizamos cookies essenciais para o funcionamento do site e cookies analíticos para entender o comportamento dos clientes.,cookies,diversos,2025-01-01T00:00:00,v1.0
Não reunimos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas,diversos,2025-01-01T00:00:00,v1.0
Não recolhemos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas,diversos,2025-01-01T00:00:00,v1.0
Para titulars menores de idade o uso da site requer consentimento dos responsáveis legais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Para usuários da site menores de idade o uso da site requer consentimento dos responsáveis legais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Os informações pessoais serão retidos conforme exigido por lei ou enquanto sua conta permanecer ativa.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Após o término do período de retenção seus informações privados serão excluídos ou anonimizados de forma segura.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Para exercer seus direitos ou esclarecer dúvidas contacte com nosso Encarregado de Dados.,contato,diversos,2025-01-01T00:00:00,v1.0
Para exercer seus direitos ou esclarecer dúvidas comunique-se com nosso Encarregado de Dados.,contato,diversos,2025-01-01T00:00:00,v1.0
A transferência internacional de informações ocorre com garantias adequadas de proteção conforme a LGPD.,internacional,diversos,2025-01-01T00:00:00,v1.0
Tomamos medidas para assegurar que países destinatários ofereçam nível adequado de proteção de informações pessoais.,internacional,diversos,2025-01-01T00:00:00,v1.0
Você pode solicitar acesso aos seus dados a qualquer momento através do nosso portal.,direitos_titular,teste_empresa,2025-12-04T18:32:44.623944,v1.0
Utilizamos cookies essenciais para garantir o funcionamento adequado do site.,cookies,teste_empresa,2025-12-04T18:32:44.623944,v1.0
Seus dados serão armazenados em servidores seguros no Brasil.,armazenamento,teste_empresa,2025-12-04T18:32:44.623944,v1.0
"A revogação do consentimento pode resultar na impossibilidade de uso de algumas funcionalidades do aplicativo, ou até mesmo no encerramento dos serviços prestados, mas não impede o uso de (i) dados anonimizados; e (ii) dados cujo tratamento esteja baseado em outra hipótese legal prevista na LGPD.",consentimento,nubank,2025-12-04T18:57:21.600800,v1.0
"Portabilidade e direito de petição

Quando regulamentado o direito de portabilidade pela Autoridade Nacional de Proteção de Dados (ANPD), você poderá solicitar ao Nu a portabilidade dos seus dados pessoais a outro prestador de serviços.",direitos_titular,nubank,2025-12-04T18:57:21.600800,v1.0
"Além disso, você tem o direito de peticionar perante a ANPD em relação aos seus dados pessoais.",direitos_titular,nubank,2025-12-04T18:57:21.600800,v1.0
"Por exemplo, podemos armazenar seus dados para cumprir com obrigações impostas pelo Banco Central do Brasil (BCB), Comissão de Valores Mobiliários (CVM), BSM Supervisão de Mercados, ANBIMA e SUSEP, e outras entidades regulatórias e também para preservar nossos direitos em ações judiciais.",finalidade,nubank,2025-12-04T18:57:21.600800,v1.0
"A Dexco pode compartilhar seus dados pessoais com parceiros comerciais para prestação dos serviços ou execução de atividades comerciais, mas também com autoridades e demais interessados, para cumprimento de obrigações legais, proteção de seus interesses, ou mediante ordem judicial, pelo requerimento de autoridades administrativas.",finalidade,deca,2025-12-04T20:22:59.286435,v1.0
"Se formos obrigados a manter os dados pessoais para as nossas obrigações legais, jurídicas, fiscais, de auditoria e contabilidade, mantendo apenas pelo período exigido pela legislação aplicável; ou Sempre que necessário para a prevenção de fraudes ou para manter a segurança do nosso ambiente e demais usuários do portal/site.",finalidade,deca,2025-12-04T20:22:59.286435,v1.0
"A qualquer momento, você poderá rever a forma de aplicação dos cookies, através das configurações de seu navegador de preferência.",direitos_titular,deca,2025-12-04T20:22:59.286435,v1.0
"Segurança da Informação e dos Dados Pessoais A Dexco adota medidas de segurança para manter a confidencialidade, a integridade, a disponibilidade e autenticidade das informações e dos dados pessoais em seus sites e aplicativos, incluindo as diretrizes sobre padrões de segurança estabelecidas nas legislações e regulamentações aplicáveis, tais como métodos de criptografia de dados, proteção contra acessos não autorizados, entre outros.",seguranca,deca,2025-12-04T20:22:59.286435,v1.0
"A Dexco pode compartilhar seus dados pessoais com parceiros comerciais para prestação dos serviços ou execução de atividades comerciais, mas também com autoridades e demais interessados, para cumprimento de obrigações legais, proteção de seus interesses, ou mediante ordem judicial, pelo requerimento de autoridades administrativas.",finalidade,dexco,2025-12-05T17:07:24.919230,v1.0
"Nome, e-mail, CPF, telefone, assunto, descrição, tipo de contato [reclamação, consulta, informação técnica, sugestão, solicitação, elogio, dúvida técnica e solicitação de catálogo], endereço, número, CEP, cidade, bairro, estado, complemento, arquivos, perfil [consumidor final, arquiteto, estudante, construtora, designer de interiores, designer de móveis, indústria de móveis, instalador, marceneiro, revendedor], geolocalização, obtida via latitude e longitude; ou inclusão dos seguintes dados para consulta no Google Maps, obtendo a localização via latitude e longitude: CEP ou endereço, bairro, cidade, estado e país de arquitetos, designers de interiores, designers de móveis, construtoras, lojistas, vendedores, bem como consumidores finais, entre outros.",coleta_dados,dexco,2025-12-05T17:07:24.919230,v1.0
"A qualquer momento, você poderá rever a forma de aplicação dos cookies, através das configurações de seu navegador de preferência.",direitos_titular,dexco,2025-12-05T17:07:24.919230,v1.0
"As leis brasileiras de privacidade e proteção de dados pessoais asseguram a você, titular de dados pessoais, uma série de garantias que o colocam no controle das informações que você nos fornece.",direitos_titular,dexco,2025-12-05T17:07:24.919230,v1.0
"este direito permite que o titular de dados requisite e receba uma confirmação sobre a existência de coleta, armazenamento, compartilhamento ou qualquer tipo de tratamento a partir de seus dados; este direito permite que o titular de dados requisite e receba uma cópia gratuita e em formato acessível dos dados tratados; este direito permite que o titular de dados requisite a retificação de seus dados; este direito permite que o titular de dados requisite a anonimização, o bloqueio ou a eliminação dos dados da base da Dexco.",direitos_titular,dexco,2025-12-05T17:07:24.919230,v1.0
"Esta Política de Privacidade se aplica a todos os nossos aparelhos e serviços da Samsung, de telefones celulares e tablets a TVs, aparelhos domésticos, serviços on-line e outros, coletivamente chamados de Serviços.",finalidade,samsung,2025-12-05T17:50:15.542262,v1.0
Transferimos dados apenas para países com proteção adequada de dados pessoais.,internacional,diversos,2025-01-01T00:00:00,v1.0
A adequação do país de destino é verificada antes de qualquer transferência internacional.,internacional,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser transferidos para outros países que ofereçam proteção adequada.,internacional,diversos,2025-01-01T00:00:00,v1.0
Se você não deseja que suas informações sejam processadas em outros países entre em contato.,internacional,diversos,2025-01-01T00:00:00,v1.0
Você pode revogar seu consentimento a qualquer momento através das configurações da conta.,consentimento,diversos,2025-01-01T00:00:00,v1.0
O consentimento deve ser livre informado e inequívoco para coleta de dados.,consentimento,diversos,2025-01-01T00:00:00,v1.0
A retirada do consentimento não afeta tratamentos realizados anteriormente.,consentimento,diversos,2025-01-01T00:00:00,v1.0
"Se você solicitar um produto ou se conectar ao nosso serviço, poderemos coletar seu nome, endereço, informações de contato, informação de localização, identificador do aparelho e informações de envio e pagamento para processar seu pedido.",coleta_dados,samsung,2025-12-05T17:50:15.542262,v1.0
"Para fornecer respostas quando você contatar o Suporte ao Cliente, poderemos precisar de informações para verificar sua identidade e o produto sobre o qual você está consultando.",coleta_dados,samsung,2025-12-05T17:50:15.542262,v1.0
"Informações de voz: gravações da sua voz que nós fazemos e armazenamos em nossos servidores quando você ativa esta função e usa comandos de voz para controlar um Serviço, ou quando você entra em contato com nosso time de Suporte ao Cliente.",coleta_dados,samsung,2025-12-05T17:50:15.542262,v1.0
