texto,categoria
"Pode requerer a exclusão de seus dados, salvo obrigações legais.",direitos_titular
Tem direito à portabilidade de dados para outro fornecedor de serviço.,direitos_titular
Pode revogar consentimentos concedidos anteriormente.,direitos_titular
Solicitações de direitos do titular são respondidas em até 15 dias.,direitos_titular
Você pode se opor ao tratamento de dados para finalidades específicas.,direitos_titular
Seus dados são usados para melhorar nossos produtos e serviços.,finalidade
Processamos informações para personalizar sua experiência.,finalidade
Dados são tratados para cumprimento de obrigações contratuais.,finalidade
Utilizamos informações para prevenir fraudes e garantir segurança.,finalidade
O tratamento visa enviar comunicações sobre produtos de seu interesse.,finalidade
Dados são processados para fins estatísticos e analíticos.,finalidade
Dados podem ser transferidos para servidores em outros países.,internacional
Transferências internacionais seguem cláusulas contratuais padrão.,internacional
Garantimos proteção adequada em transferências para fora do Brasil.,internacional
Alguns prestadores de serviço estão localizados nos Estados Unidos.,internacional
Transferências são realizadas apenas com salvaguardas apropriadas.,internacional
Esta política complementa nossos Termos de Uso.,outros
Mantemos a confidencialidade de suas informações.,outros
Auditamos regularmente nossas práticas de privacidade.,outros
Estamos comprometidos com a transparência no tratamento de dados.,outros
Implementamos medidas técnicas e organizacionais de segurança.,seguranca
Utilizamos criptografia para proteger dados em trânsito.,seguranca
Acesso a informações é restrito a colaboradores autorizados.,seguranca
Realizamos auditorias de segurança regularmente.,seguranca
Sistemas são monitorados continuamente contra ameaças.,seguranca
Empregamos firewalls e sistemas de detecção de intrusão.,seguranca
Coletamos seus dados individuais quando você se cadastra em nosso site.,coleta_dados
Coletamos seus dados individuais individuais quando você se cadastra em nosso site.,coleta_dados
As informações fornecidas serão utilizadas para melhorar nossos produtos e serviços.,finalidade
Seus informações podem ser compartilhados com parceiros comerciais.,compartilhamento
Você tem o direito de solicitar a exclusão de seus informações de identificação a qualquer momento.,direitos_titular
Você possui o direito de solicitar a exclusão de seus dados a qualquer momento.,direitos_titular
Não registramos dados de menores de 13 anos sem autorização dos pais.,criancas
Entre em contato com nosso encarregado de informações individuais através do email dpo@empresa.com.,contato
Garantimos a confidencialidade de suas informações individuais.,seguranca
Compartilhamos dados com fornecedores de recursos de pagamento.,compartilhamento
Você tem direito à portabilidade dos seus informações.,direitos_titular
Você tem direito à portabilidade dos seus informações pessoais.,direitos_titular
Os dados pessoais coletados incluem nome endereço email e telefone.,coleta_dados
Você pode acessar e corrigir seus informações pessoais.,direitos_titular
Você pode acessar e corrigir seus informações individuais individuais.,direitos_titular
Crianças e adolescentes requerem tratamento especial de dados individuais.,criancas
Crianças e adolescentes requerem tratamento especial de informações.,criancas
Não vendemos suas informações privados a terceiros.,compartilhamento
Você tem direito de se opor ao tratamento de informações pessoais.,direitos_titular
Transferimos informações pessoais apenas para países com proteção adequada.,internacional
Para exercer seus direitos contacte conosco.,contato
Processamos dados pessoais de acordo com princípios de transparência e segurança.,outros
As práticas descritas aplicam-se a todos os usuário da plataformas.,outros
Nosso compromisso é com a proteção de dados de identificação de identificação.,outros
Notificaremos os clientes sobre modificações substanciais através de e-mail ou aviso destacado na plataforma.,alteracoes
Notificaremos os usuários da aplicativo sobre modificações substanciais através de e-mail ou aviso destacado na aplicativo.,alteracoes
A coleta de informações de identificação ocorre quando você cria uma conta ou realiza uma compra na plataforma.,coleta_dados
A coleta de dados pessoais pessoais ocorre quando você cria uma conta ou realiza uma compra na site.,coleta_dados
Podemos compartilhar suas informações com prestadores de produtos e serviços que nos auxiliam nas operações.,compartilhamento
Não vendemos nem alugamos suas informações individuais para terceiros sem seu consentimento explícito.,compartilhamento
Não vendemos nem alugamos suas informações privados para terceiros sem seu consentimento explícito.,compartilhamento
Utilizamos seus informações pessoais para processar pedidos personalizar sua experiência e melhorar nossos recursos.,finalidade
A finalidade do tratamento inclui prevenção de fraudes e garantia da segurança da sistema.,finalidade
Os informações coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade
Os informações pessoais coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade
Utilizamos cookies essenciais para o funcionamento do site e cookies analíticos para entender o comportamento dos clientes.,cookies
Não reunimos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas
Não recolhemos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas
Para titulars menores de idade o uso da site requer consentimento dos responsáveis legais.,criancas
Para usuários da site menores de idade o uso da site requer consentimento dos responsáveis legais.,criancas
Os informações pessoais serão retidos conforme exigido por lei ou enquanto sua conta permanecer ativa.,armazenamento
Após o término do período de retenção seus informações privados serão excluídos ou anonimizados de forma segura.,armazenamento
Para exercer seus direitos ou esclarecer dúvidas contacte com nosso Encarregado de Dados.,contato
Para exercer seus direitos ou esclarecer dúvidas comunique-se com nosso Encarregado de Dados.,contato
A transferência internacional de informações ocorre com garantias adequadas de proteção conforme a LGPD.,internacional
Tomamos medidas para assegurar que países destinatários ofereçam nível adequado de proteção de informações pessoais.,internacional
